as_of,use_name,site_id,state,city,region,basecamp_mentor,no_of_grades,type_of_school,map_name,tableau_email,lowest_grade_in_basecamp,highest_grade_in_basecamp,district_id,district_use_name,district_tableau_email,el_population,el_category,frl_population,frl_category,sped_population,sped_category,alternative_school,partner_tableau_email,id,still_in_program,zip_code,cohort_number,deprecated_glt_cohort_3,deprecated_itu
2017-05-01,AZ Kelsey Academy,129,GA,Griffin,Southeast,Susan,1,Public District,"",stephanie.evans@gscs.org,10,10,80,Spalding County,"",,"",,"",,"",true,"",93,false,"",,,
2017-05-01,AZ Kelsey Achievement,128,GA,Griffin ,Southeast,Susan,2,Public District,"",stephanie.evans@gscs.org,7,8,80,Spalding County,"",,"",,"",,"",true,"",92,false,"",,,
2017-05-01,Academy of Choice,134,TX,Houston,Gulf Region,Susan,1,Public District,"",jill.wright@springbranchisd.com,9,9,61,Spring Branch ISD,karen.justl@springbranchisd.com,20,High,63,"",1,"",false,"",96,true,77055,2,,
2017-05-01,Aire Libre Elementary School,178,AZ,Phoenix,SoCal/AZ/Central Cal,Arelys,1,Public District,"",jamoore@pvlearners.net,6,6,55,Paradise Valley Unified School District,jmak@pvlearners.net,18,High,83,High,25,High,false,"",130,true,85022,2,,
2017-05-01,Alexander Rose Elementary School,164,CA,Milpitas,NorCal,Samia,1,Public District,"",npass@musd.org,6,6,21,Milpitas Unified School District,gbarnes@musd.org,46,Very High,58,"",8,"",false,"",117,true,95035,2,,
2017-05-01,Alliance Alice M. Baxter College-Ready High School,110,CA,San Pedro,SoCal/AZ/Central Cal,Arelys,3,Public Charter,"",bcarr@laalliance.org,9,11,31,Alliance College-Ready Public Schools,rpambello@laalliance.org,5,"",85,High,16,High,false,"",78,true,90731,2,,
2017-05-01,Alliance MIT,392,CA,Sun Valley,SoCal/AZ/Central Cal,Arelys,2,Public Charter,"",dahernandez@laalliance.org,6,7,31,Alliance College-Ready Public Schools,rpambello@laalliance.org,,"",,"",,"",false,"",138,true,91331,2,,
2017-05-01,Alliance MIT,123,CA,Sun Valley,SoCal/AZ/Central Cal,Arelys,1,Public Charter,"",dahernandez@laalliance.org,9,9,31,Alliance College-Ready Public Schools,rpambello@laalliance.org,,"",,"",,"",false,"",88,true,91331,2,,
2017-05-01,Aspen Valley Prep,63,CA,Fresno,SoCal/AZ/Central Cal,Arelys,3,Public Charter,"",hilary.witts@valleyprep.com,6,8,44,Valley Preparatory Academy Inc.,"",14,High,80,High,6,"",false,"",37,true,93705,2,,
2017-05-01,Athena Academy,113,CA,Palo Alto,NorCal,Samia,3,Private,"",director@athenaacademystudents.org,6,8,76,Athena Academy,"",0,"",8,"",20,High,false,"",80,true,94306,2,,
2017-05-01,Beverly Hills Intermediate,82,TX,Houston,Gulf Region,Jared,1,Public District,"",sbarber@pisdmail.org,7,7,38,Pasadena Independent School District,connect@pisdmail.org,9,"",68,"",8,"",false,"",55,true,77075,2,,
2017-05-01,Blackstone Valley Prep,10,RI,Cumberland,New England,Laura,3,Public Charter,"",dmadden@blackstonevalleyprep.org,9,11,4,Blackstone Valley Prep Mayoral Academy,"",,"",,"",,"",false,"",1,true,2864,1,,
2017-05-01,Bobby Duke Middle Schools,177,CA,Coachella,SoCal/AZ/Central Cal,Arelys,1,Public District,"",ebecerra@cvusd.us,8,8,111,Coachella Valley Unified School District,cvusdplp@cvusd.us,46,Very High,100,High,7,"",false,"",129,true,92236,2,,
2017-05-01,Bondy Intermediate School,86,TX,Pasadena,Gulf Region,Jared,1,Public District,"",sscibal@pisdmail.org,7,7,38,Pasadena Independent School District,connect@pisdmail.org,13,High,60,"",11,"",false,"",58,true,77505,2,,
2017-05-01,Boone County Schools Imagineering Academy,136,KY,Florence,Mid-South,Susan,3,Public District,"",jerome.gels@boone.kyschools.us,9,11,75,Boone County Schools,krista.decker@boone.kyschools.us,5,"",50,"",35,High,true,"",98,true,41018,2,,
2017-05-01,Bronx Writing Academy,96,NY,Bronx ,NY/NJ/PA,Anji,1,Public District,"",principal@bronxwritingacademy.net,6,6,11,New York City Dept Of Ed,"",30,High,92,High,20,High,false,"",66,true,10456,2,,
2017-05-01,Buena Vista Elementary School,107,CA,Bakersfield,SoCal/AZ/Central Cal,Arelys,1,Public District,"",bdye@pbvusd.k12.ca.us,6,6,63,Panama-Buena Vista Union School District,"",13,High,15,"",10,"",false,"",75,true,94597,2,,
2017-05-01,Burnett Middle School,11,CA,San Jose,"","",1,Public District,"","",6,6,5,San Jose Unified School District,"",,"",,"",,"",false,"",147,false,95112,1,,
2017-05-01,CICS Bucktown,105,IL,Chicago,Mid-West,Anji,3,Public Charter,"",rbeucher@distinctiveschools.org,6,8,28,Distinctive Public Schools,aclaypool@distinctiveschools.org,20,High,80,High,17,High,false,"",73,true,60647,2,,
