as_of,id,overall_score
2015-07-04 00:00:00,43998,
2015-08-03 00:00:00,43998,
2015-08-17 00:00:00,43998,
2015-08-24 00:00:00,43998,
2015-08-31 00:00:00,43998,
2015-09-07 00:00:00,43998,
2015-09-14 00:00:00,43998,
2015-09-21 00:00:00,43998,
2015-09-28 00:00:00,43998,
2015-10-05 00:00:00,43998,
2015-10-12 00:00:00,43998,
2015-10-19 00:00:00,43998,
2015-10-26 00:00:00,43998,
2015-11-02 00:00:00,43998,
2015-11-09 00:00:00,43998,
2015-11-16 00:00:00,43998,
2015-11-23 00:00:00,43998,
2015-11-30 00:00:00,43998,
2015-12-07 00:00:00,43998,
2015-12-14 00:00:00,43998,
2015-12-21 00:00:00,43998,
2015-12-28 00:00:00,43998,
2016-01-04 00:00:00,43998,
2016-01-11 00:00:00,43998,
2016-01-18 00:00:00,43998,
2016-01-25 00:00:00,43998,
2016-02-01 00:00:00,43998,
2016-02-08 00:00:00,43998,
2016-02-15 00:00:00,43998,
2016-02-22 00:00:00,43998,
2016-02-29 00:00:00,43998,
2016-03-07 00:00:00,43998,
2016-03-14 00:00:00,43998,
2016-03-16 00:00:00,43998,
2016-03-17 00:00:00,43998,
2016-03-18 00:00:00,43998,
2016-03-19 00:00:00,43998,
2016-03-20 00:00:00,43998,
2016-03-21 00:00:00,43998,
2016-03-22 00:00:00,43998,
2016-03-23 00:00:00,43998,
2016-03-24 00:00:00,43998,
2016-03-25 00:00:00,43998,
2016-03-26 00:00:00,43998,
2016-03-27 00:00:00,43998,
2016-03-28 00:00:00,43998,
2016-03-29 00:00:00,43998,
2016-03-30 00:00:00,43998,
2016-03-31 00:00:00,43998,
2016-04-01 00:00:00,43998,
2016-04-02 00:00:00,43998,
2016-04-03 00:00:00,43998,
2016-04-04 00:00:00,43998,
2016-04-05 00:00:00,43998,
2016-04-06 00:00:00,43998,
2016-04-07 00:00:00,43998,
2016-04-08 00:00:00,43998,
2016-04-09 00:00:00,43998,
2016-04-10 00:00:00,43998,
2016-04-11 00:00:00,43998,
2016-04-12 00:00:00,43998,
2016-04-13 00:00:00,43998,
2016-04-14 00:00:00,43998,
2016-04-15 00:00:00,43998,
2016-04-16 00:00:00,43998,
2016-04-17 00:00:00,43998,
2016-04-18 00:00:00,43998,
2016-04-19 00:00:00,43998,
2016-04-20 00:00:00,43998,
2016-04-21 00:00:00,43998,
2016-04-22 00:00:00,43998,
2016-04-23 00:00:00,43998,
2016-04-24 00:00:00,43998,
2016-04-25 00:00:00,43998,
2016-04-26 00:00:00,43998,
2016-04-27 00:00:00,43998,
2016-04-28 00:00:00,43998,
2016-04-29 00:00:00,43998,
2016-04-30 00:00:00,43998,
2016-05-01 00:00:00,43998,
2016-05-02 00:00:00,43998,
2016-05-03 00:00:00,43998,
2016-05-04 00:00:00,43998,
2016-05-05 00:00:00,43998,
2016-05-06 00:00:00,43998,
2016-05-07 00:00:00,43998,
2016-05-08 00:00:00,43998,
2016-05-09 00:00:00,43998,
2016-05-10 00:00:00,43998,
2016-05-11 00:00:00,43998,
2016-05-12 00:00:00,43998,
2016-05-13 00:00:00,43998,
2016-05-14 00:00:00,43998,
2016-05-15 00:00:00,43998,
2016-05-16 00:00:00,43998,
2016-05-17 00:00:00,43998,
2016-05-18 00:00:00,43998,
2016-05-19 00:00:00,43998,
2016-05-20 00:00:00,43998,
2016-05-21 00:00:00,43998,
